Date,Adj Close,COD_release,Weeks_after_COD,Price_Subtracted,
476,19-12-2016,35.398869,0,7,-5.043129
477,26-12-2016,35.020638,0,8,-5.42136
478,02-01-2017,36.766335,0,9,-3.675663
479,09-01-2017,37.77496,0,10,-2.667038
480,16-01-2017,37.794353,0,11,-2.647645
481,23-01-2017,38.415043,0,12,-2.026955
482,30-01-2017,38.802975,0,13,-1.639023
483,06-02-2017,45.805164,0,14,5.363166
484,13-02-2017,43.96249,0,15,3.520492
485,20-02-2017,44.17585,0,16,3.733852
486,27-02-2017,45.649994,0,17,5.207996
487,06-03-2017,47.71574,0,18,7.273742
488,13-03-2017,47.64785,0,19,7.205852
489,20-03-2017,47.638149,0,20,7.196151
490,27-03-2017,48.355824,0,21,7.913826
491,03-04-2017,48.407936,0,22,7.965938
492,10-04-2017,47.246777,0,23,6.804779
493,17-04-2017,48.66164,0,24,8.219642
494,24-04-2017,50.983974,0,25,10.541976
495,01-05-2017,52.525688,0,26,12.08369
496,08-05-2017,54.652866,0,27,14.210868
497,15-05-2017,54.52602,0,28,14.084022
498,22-05-2017,56.867863,0,29,16.425865
499,29-05-2017,58.204674,0,30,17.762676
500,05-06-2017,56.62392,0,31,16.181922
501,12-06-2017,57.375263,0,32,16.933265
502,19-06-2017,58.975529,0,33,18.533531
503,26-06-2017,56.175064,0,34,15.733066
504,03-07-2017,56.682472,0,35,16.240474
505,10-07-2017,59.278015,0,36,18.836017
506,17-07-2017,59.453655,0,37,19.011657
507,24-07-2017,59.96106,0,38,19.519062
508,31-07-2017,60.507484,0,39,20.065486
509,07-08-2017,59.268261,0,40,18.826263
510,14-08-2017,60.507484,0,41,20.065486
511,21-08-2017,61.063679,0,42,20.621681
512,28-08-2017,63.542133,0,43,23.100135
513,04-09-2017,63.356735,0,44,22.914737
514,11-09-2017,63.425041,0,45,22.983043
515,18-09-2017,62.351692,0,46,21.909694
516,25-09-2017,62.946911,0,47,22.504913
517,02-10-2017,61.717442,0,48,21.275444
518,09-10-2017,59.600021,0,49,19.158023
519,16-10-2017,61.112469,0,50,20.670471
520,23-10-2017,62.585876,0,51,22.143878
521,30-10-2017,61.668652,1,0,0
522,06-11-2017,61.473499,0,1,-0.195153
523,13-11-2017,62.546844,0,2,0.878192
524,20-11-2017,64.430084,0,3,2.761432
525,27-11-2017,60.458694,0,4,-1.209958
526,04-12-2017,60.917313,0,5,-0.751339
527,11-12-2017,65.113121,0,6,3.444469
528,18-12-2017,62.946911,0,7,1.278259
529,25-12-2017,61.785748,0,8,0.117096
530,01-01-2018,64.761841,0,9,3.093189
531,08-01-2018,68.655167,0,10,6.986515
532,15-01-2018,68.860077,0,11,7.191425
533,22-01-2018,70.762817,0,12,9.094165
534,29-01-2018,69.689484,0,13,8.020832
535,05-02-2018,65.454636,0,14,3.785984
536,12-02-2018,68.489288,0,15,6.820636
537,19-02-2018,70.32373,0,16,8.655078
538,26-02-2018,72.216721,0,17,10.548069
539,05-03-2018,76.324715,0,18,14.656063
540,12-03-2018,69.943184,0,19,8.274532
541,19-03-2018,66.391373,0,20,4.722721
542,26-03-2018,65.825432,0,21,4.15678
543,02-04-2018,63.320461,0,22,1.651809
544,09-04-2018,64.61512,0,23,2.946468
545,16-04-2018,65.027061,0,24,3.358409
546,23-04-2018,64.526855,0,25,2.858203
547,30-04-2018,68.499092,0,26,6.83044
548,07-05-2018,70.32338,0,27,8.654728
549,14-05-2018,70.607811,0,28,8.939159
550,21-05-2018,70.08799,0,29,8.419338
551,28-05-2018,71.627846,0,30,9.959194
552,04-06-2018,72.863663,0,31,11.195011
553,11-06-2018,75.923759,0,32,14.255107
554,18-06-2018,74.52121,0,33,12.852558
555,25-06-2018,74.854683,0,34,13.186031
556,02-07-2018,75.707977,0,35,14.039325
557,09-07-2018,79.935226,0,36,18.266574
558,16-07-2018,78.12075,0,37,16.452098
559,23-07-2018,73.913109,0,38,12.244457
560,30-07-2018,69.950676,0,39,8.282024
561,06-08-2018,69.254311,0,40,7.585659
562,13-08-2018,67.822342,0,41,6.15369
563,20-08-2018,72.667496,0,42,10.998844
564,27-08-2018,70.715698,0,43,9.047046
565,03-09-2018,72.157478,0,44,10.488826
566,10-09-2018,79.709633,0,45,18.040981
567,17-09-2018,78.748451,0,46,17.079799
568,24-09-2018,81.592781,0,47,19.924129
569,01-10-2018,78.061897,0,48,16.393245
570,08-10-2018,76.423965,1,0,0
571,15-10-2018,68.410828,0,1,-8.013137
572,22-10-2018,67.518288,0,2,-8.905677
573,29-10-2018,67.665413,0,3,-8.758552
574,05-11-2018,53.953823,0,4,-22.470142
575,12-11-2018,49.961967,0,5,-26.461998
576,19-11-2018,49.089058,0,6,-27.334907
577,26-11-2018,48.922321,0,7,-27.501644
578,03-12-2018,46.323196,0,8,-30.100769
579,10-12-2018,46.833214,0,9,-29.590751
580,17-12-2018,44.969692,0,10,-31.454273
581,24-12-2018,45.901455,0,11,-30.52251
582,31-12-2018,46.264351,0,12,-30.159614
583,07-01-2019,45.646446,0,13,-30.777519
584,14-01-2019,47.715935,0,14,-28.70803
585,21-01-2019,46.882256,0,15,-29.541709
586,28-01-2019,45.126617,0,16,-31.297348
587,04-02-2019,42.576542,0,17,-33.847423
588,11-02-2019,43.743694,0,18,-32.680271
589,18-02-2019,40.703213,0,19,-35.720752
590,25-02-2019,42.017483,0,20,-34.406482
591,04-03-2019,41.223034,0,21,-35.200931
592,11-03-2019,43.773117,0,22,-32.650848
593,18-03-2019,45.970108,0,23,-30.453857
